,clause,verb,phrase,cmpl_type,cmpl_func
428202,428202,NWX[,653559,<L,LOC
442141,442141,NWX[,695848,<L,-
460021,460021,NWX[,750080,<L,?
464948,464948,NWX[,764659,<L,-
460698,460698,NWX[,752153,<L,LOC
461275,461275,TQ<[,753800,B,-
457943,457943,TQ<[,743762,B,DIR
460638,460638,TQ<[,751971,B,-
458192,458192,TQ<[,744494,B,-
460515,460515,TQ<[,751618,B,-
460186,460186,TQ<[,750605,B,-
460181,460181,TQ<[,750590,B,DIR
430948,430948,TQ<[,661874,B,LOC
430949,430949,TQ<[,661879,B,LOC
461296,461296,TQ<[,753864,B,-
449233,449233,TQ<[,717257,B,-
451989,451989,TQ<[,725630,B,-
449237,449237,TQ<[,717269,B,-
449247,449247,TQ<[,717302,B,-
449266,449266,TQ<[,717359,B,-
449215,449215,TQ<[,717205,B,-
449210,449210,TQ<[,717189,B,-
449189,449189,TQ<[,717132,B,-
